Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
12CP023409,P003232295|P003232296|P003232297|P003232298|P003232299|P003232300,04/04/2012,POLICE,06/01/2012 09:00:00 AM,4750 S LOOMIS ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"JP MORGAN CHASE, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.807161770211174,-87.66021382978502,POINT (-87.66021382978502 41.807161770211174)
11CP069340,P003015851|P003015852|P003015853|P003015854|P003015949|P003015950,10/10/2011,POLICE,12/02/2011 09:00:00 AM,3221 W 38TH PL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"WACHOVIA MORTGAGE CORP, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.82337338606849,-87.70530467429798,POINT (-87.70530467429798 41.82337338606849)
14CP009675,P004410329,02/04/2014,POLICE,03/07/2014 11:00:00 AM,7153 S EBERHART ,13-12-140  Watchman required,"METLIFE HOME LOANS, ",Default - Liable by prove-up,300.00,0.00,3.10,0.00,0.00,343.10,340.00,0.00,41.76419121613714,-87.61265960553645,POINT (-87.61265960553645 41.76419121613714)
14CP036219,P004367754|P004367754|P004367755|P004367755|P004367767|P004367767|P004367768|P004367768|P004394583|P004394583|P004394584|P004394584,03/03/2014,POLICE,05/02/2014 11:00:00 AM,3216 E 92ND ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"LASALLE BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.72841737425875,-87.54616768268855,POINT (-87.54616768268855 41.72841737425875)
14CP010631,P004323545|P004323546|P004323547|P004323548|P004323549|P004323550,01/13/2014,POLICE,03/07/2014 09:00:00 AM,6849 S TRIPP ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"U S BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7680219328501,-87.728441559111,POINT (-87.728441559111 41.7680219328501)
14CP036367,P004453313|P004453314|P004453315|P004453316|P004453317|P004453318,03/27/2014,POLICE,05/02/2014 09:00:00 AM,5617 S ARTESIAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"NATION STAR MORTGAGE LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7915595026977,-87.68507893092077,POINT (-87.68507893092077 41.7915595026977)
14CP075140,P004232702|P004232703,05/12/2014,POLICE,08/01/2014 09:00:00 AM,5032 S PRINCETON ,13-12-140  Watchman required|13-12-140  Watchman required,"TCF NATL BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.802635817545664,-87.63335144240062,POINT (-87.63335144240062 41.802635817545664)
11CP039313,P002514181,07/15/2011,POLICE,09/02/2011 01:00:00 PM,6358 S LAFLIN ,13-12-125  Duty to secure and maintain vacant building.,"PARK NATIONAL BANK TRUST, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.77777815691089,-87.6618786046867,POINT (-87.6618786046867 41.77777815691089)
19CP076199,P005875677|P005875678|P005875679|P005875680|P005875681|P005875682,11/07/2019,POLICE,01/03/2020 09:00:00 AM,7229 S OAKLEY ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.76202758099606,-87.6804718070585,POINT (-87.6804718070585 41.76202758099606)
13CP011558,P003817445|P003817446|P003817447|P003817448|P003817449|P003817450,02/11/2013,POLICE,04/05/2013 09:00:00 AM,5648 S BISHOP ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO HOME MORTGAGE, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79081017172071,-87.6610089537136,POINT (-87.6610089537136 41.79081017172071)
12CP084360,P003830588|P003830589|P003830590|P003830591|P003830592|P003830593,11/16/2012,POLICE,01/04/2013 09:00:00 AM,5213 S WOLCOTT ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITI MORTGAGE, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.799012653942285,-87.67186902502422,POINT (-87.67186902502422 41.799012653942285)
15CP134988,P004881198|P004881213,09/08/2015,POLICE,11/06/2015 11:00:00 AM,259 W 117TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK NATIONAL TRUST CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.681482201320556,-87.62991089876343,POINT (-87.62991089876343 41.681482201320556)
12CP016977,P002501931|P002501932|P002501933|P002501934|P002501935|P002501936,03/02/2012,POLICE,04/06/2012 01:00:00 PM,3036 W CULLERTON ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"AZTEC AMERICAN BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.85467544719197,-87.70180607151201,POINT (-87.70180607151201 41.85467544719197)
14CP004024,P004318903|P004318904|P004318905|P004318906|P004318907|P004318908,01/03/2014,POLICE,02/07/2014 09:00:00 AM,5925 S WASHTENAW ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CHASE HOME FINANCE LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.785679075397375,-87.6909889402125,POINT (-87.6909889402125 41.785679075397375)
12CP004438,P003141595|P003141597|P003141598|P003141599|P003141600,01/08/2012,POLICE,03/02/2012 09:00:00 AM,3135 W 53 ST ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"FEDERAL NATL MTG ASSN, ",Default - Liable by prove-up,3300.00,0.00,3493.62,941.88,7.33,7782.83,3639.96,4067.10,41.797076009538294,-87.7026550809674,POINT (-87.7026550809674 41.797076009538294)
15CP151816,P004739199|P004739200|P004739203|P004739204,10/29/2015,POLICE,12/04/2015 01:00:00 PM,1026 N RIDGEWAY ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.89989862179923,-87.72026651828676,POINT (-87.72026651828676 41.89989862179923)
13CP044083,P004099251|P004099253,05/24/2013,POLICE,07/05/2013 09:00:00 AM,5231 S MARSHFIELD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.,"U S BANK NA TRUST, ",City non-suit,800.00,0.00,9.11,236.88,0.00,1085.99,1085.16,0.00,41.79854506938897,-87.66577483827062,POINT (-87.66577483827062 41.79854506938897)
16CP048972,P004738183|P004738184|P004738185|P004993916,05/17/2016,POLICE,07/01/2016 01:00:00 PM,6440 S TROY ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.77594044195348,-87.70198393527262,POINT (-87.70198393527262 41.77594044195348)
15CP009715,P004329752|P004329753|P004329754|P004329755|P004329756|P004329757|P004329758|P004329759,01/02/2015,POLICE,02/06/2015 01:00:00 PM,6242 S FRNACISCO ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.77962248102674,-87.69598991801395,POINT (-87.69598991801395 41.77962248102674)
16CP020388,P004965269|P004965270|P004965271|P004965272|P004965273|P004965274,03/07/2016,POLICE,05/06/2016 09:00:00 AM,6008 S MAY ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.784761941885954,-87.65356440918292,POINT (-87.65356440918292 41.784761941885954)
