,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1
District_7,0.2029020791316054,-0.049759299055908125,0.20849758184543407,0.20914901831093297,-0.002173864834941402,0.15439703793599807,0.12147676824824294,0.2063730257788732,0.16115312399033727,0.18865922447217273,0.3304900742003438,0.7175376675630618,0.4991277216263954,0.6017471067449354,0.49871732242270295,0.4224864310099089,0.24257011493802483,0.2722872310235544,0.21133972895959163,0.1941478172319862,0.22617681983165505
District_8,-0.0677478935094471,-0.11429066533511216,-0.07857413109961002,0.02537542253771146,-0.10762305674800451,-0.10249550914131242,-0.08768182104865616,-0.10133239788418429,-0.14375044121865357,-0.146132363805266,-0.10617368862471421,-0.09338430969378694,-0.07267175450972106,-0.10900549863760078,-0.14482033598120655,-0.1277909119106641,-0.10464702266810894,-0.052924301251096345,-0.17575111462662463,-0.14917838046711993,-0.15602242906562602
District_9,0.3605923782407948,0.40291851050010125,0.40169713009809854,0.4541384575857012,0.3946910866604628,0.3659391892711017,0.31538181731239945,0.2911380350259187,0.36727849893525294,0.3250228170783762,0.38008874327014697,0.44684836565085945,0.40769555477322966,0.3401534724112445,0.2827890401024853,0.34202525175674664,0.3485866142642018,0.24345876039755465,0.21479913497767436,0.246237349516796,0.20750824410531926
District_10,0.28507534975212484,0.35255210416557403,0.26478817895093987,0.34753195063410985,0.3592282495126521,0.367939950398212,0.358044225559508,0.2915001037185389,0.24929537062575952,0.2376640230979091,0.1926005957334163,0.3130444965619553,0.2967661350831063,0.33697853292375696,0.2850460367726234,0.28807923694515086,0.25644709918971,0.26931918171472385,0.16282332031779292,0.17709497395990975,0.1293858522573849
District_11,0.10093981283028647,0.0414339101439337,0.09111963994409503,0.16756295739666763,0.12223762390503828,0.1598273175916557,0.12779826830837254,0.18584923226615083,0.05897931495897518,0.0768033975358693,0.09766252044432858,0.08753908496894591,0.08555000966939261,0.02094668934925359,0.02138697603298545,0.11186545936511896,0.09732371559986969,0.11241170514961407,0.04037096987131804,0.03719103728909362,0.0066158598010250935
District_12,-0.17248227812307793,-0.2483442396035102,-0.11927302514962773,-0.0628645436873107,-0.19881347531706065,-0.13673555701553164,-0.13877535594903204,-0.12219370627530082,-0.17083820318216372,-0.13181936261593255,-0.16763366602071283,-0.13223597143711655,-0.1646352790632252,-0.17815117006493653,-0.20934342504431275,-0.18115855234702394,-0.1020092343568094,-0.16613056180835603,-0.20246259359408508,-0.2127931536818188,-0.22276301424136621
District_13,-0.1307687100783131,-0.12596126724463036,-0.10316629155832752,-0.0071414357890954155,-0.12612513444067086,-0.10422509888951753,-0.10189664718101751,-0.0634732636577598,-0.12329735556080243,-0.08307887592614346,-0.1394688064364996,-0.11875052837686069,-0.1922356610936672,-0.16352654729720673,-0.16485982155695253,-0.11798939118025333,-0.09811709021561509,-0.08062153095115204,-0.09484021775054179,-0.06829564211932766,-0.05303552457629269
District_14,-0.23945691925342077,-0.22933459305770684,-0.21916551331327633,-0.19208041823845806,-0.052415485785636276,-0.16609765127886864,-0.16447339817532736,-0.1871599616278668,-0.2716462608911515,-0.13672145189198992,-0.21065038381088336,-0.10958089935827675,-0.14008796769096757,-0.16652593925888381,-0.1989684180997995,-0.16616768571561216,-0.15035568369605043,-0.14213967435432534,-0.24308072712537238,-0.24779999939772712,-0.25064959105887674
District_15,-0.09849392118879974,-0.07168716948723505,-0.04913513819672516,-0.01060964028578422,-0.0399198063430373,0.04473854156166843,0.01071251982375937,-0.021996193769834943,-0.0941297912800749,-0.059219738809564215,-0.12443862091429304,-0.0905256356665069,-0.040339655168183136,-0.03406084074177951,-0.08443999272775497,-0.05946497844422325,-0.039431996468619626,-0.11289629635084969,-0.1118706699285167,-0.09518784427053725,-0.1057579806338271
District_16,-0.18235500878823324,-0.19416455567592994,-0.16740649032818894,-0.13155883038877722,-0.16334502450319122,-0.1658009767780051,-0.20348615276169468,-0.19107274902339066,-0.24130109081773887,-0.21884773453148507,-0.2189665951713617,-0.18818373784483705,-0.15939795705623538,-0.21921755808863885,-0.24959841714974626,-0.2278507956353784,-0.21546484305287453,-0.2362801196832493,-0.2237148329179685,-0.23470254500563817,-0.300730540253962
